hotelno,experiencescore_mix
9012309,5.00
9008408,5.00
9026001,5.00
9018621,5.00
9026077,5.00
9013077,5.00
9013215,5.00
9010114,5.00
2253104,5.00
9001044,5.00
8916647,5.00
2262991,5.00
9023448,5.00
9002204,5.00
7140002,5.00
9007984,4.50
9018831,5.00
9000032,5.00
C0100191,3.00
5410016,5.00
3100302,5.00
0140102,5.00
9022325,5.00
9008884,5.00
9001137,5.00
9025944,5.00
2001255,4.50
9001062,5.00
9010961,5.00
9032923,5.00
9020062,5.00
9023474,5.00
9007546,5.00
9000798,5.00
9032117,5.00
2360601,5.00
9000648,5.00
9014706,5.00
9007495,5.00
9024956,5.00
9000963,5.00
9023532,5.00
6500515,5.00
9033489,4.50
9028728,5.00
9022141,5.00
0300327,5.00
9011713,5.00
9001353,5.00
8000057,5.00
9034380,5.00
9014342,5.00
8000356,5.00
9027067,5.00
9028217,5.00
9000567,5.00
9018920,5.00
8000119,5.00
9001554,5.00
9014959,5.00
1160331,4.50
9007477,4.50
9030992,5.00
3330005,5.00
9000774,5.00
8000207,5.00
9015057,5.00
9026549,5.00
9010261,5.00
3340011,5.00
2564001,5.00
9008885,5.00
8914292,5.00
9024329,5.00
9001307,5.00
2300022,5.00
3157002,5.00
9001763,5.00
9024584,5.00
9019189,5.00
9025634,5.00
9034470,4.50
9022012,5.00
9009000,5.00
4580001,5.00
9000449,5.00
9025617,5.00
9015172,5.00
9000687,4.00
9024772,5.00
9020914,4.50
0370001,5.00
9008817,5.00
9001382,5.00
9023525,5.00
9028299,5.00
7100186,5.00
8000221,5.00
9010863,5.00
9033019,5.00
9022066,5.00
9028515,5.00
9024086,5.00
9032446,5.00
9025917,5.00
9023702,5.00
9023218,5.00
9004144,5.00
9010410,5.00
9018784,5.00
9019335,5.00
2500008,5.00
,3.00
9013280,5.00
,3.00
9027668,5.00
9010557,5.00
8350003,5.00
1500005,5.00
9001902,5.00
9001992,4.50
8311001,5.00
8000335,5.00
9018644,5.00
9033496,5.00
9017236,5.00
9025296,5.00
2155002,5.00
9020763,5.00
9027598,5.00
9010622,5.00
9015112,5.00
9010741,5.00
9026196,4.50
9016312,5.00
9016902,5.00
8915896,4.50
0300328,5.00
9015334,5.00
9031704,5.00
8000304,5.00
9014628,5.00
9000009,5.00
6500317,5.00
9023454,4.00
1181001,4.50
9009345,4.50
9027892,5.00
8916498,5.00
9019809,5.00
9027230,5.00
9028885,5.00
9027162,5.00
9009633,5.00
9024433,5.00
9027476,5.00
C0100004,3.00
9007947,5.00
9023712,5.00
9032460,4.50
,3.00
1100262,5.00
1022994,5.00
1500001,4.00
9023314,5.00
9008593,5.00
9015039,5.00
7230992,5.00
9029009,5.00
9017483,5.00
9004643,5.00
9029097,3.00
9025376,5.00
9015332,5.00
9001316,5.00
9006726,5.00
3003082,5.00
5180011,4.00
9016338,5.00
9035460,3.00
,3.00
9029089,5.00
4530001,5.00
2500007,4.50
9003584,5.00
9021299,4.50
9007268,5.00
9023570,5.00
9002022,5.00
8000118,4.00
9021746,5.00
3113991,4.50
1001201,4.50
9015101,5.00
9009182,5.00
9026564,5.00
1026005,5.00
C0600017,5.00
9030523,5.00
7300995,5.00
9022287,5.00
2011086,4.50
0670005,5.00
2130022,5.00
4547501,5.00
9029534,5.00
9028436,5.00
5181022,4.50
9012083,5.00
9027525,5.00
5106301,5.00
9025176,5.00
0742001,5.00
2016124,5.00
9029846,5.00
9014618,5.00
3100165,5.00
9002288,5.00
9002801,5.00
0530004,5.00
9021608,5.00
9022813,5.00
3180011,5.00
9024386,5.00
9015434,5.00
1022181,5.00
9030219,5.00
1000286,5.00
8916409,4.00
9015494,5.00
9030089,5.00
9013603,5.00
0240003,5.00
9024960,5.00
9021143,5.00
9032443,5.00
9031820,5.00
9016563,4.00
9000588,5.00
8000504,5.00
9008729,5.00
9028707,5.00
9020905,5.00
9001140,5.00
8916337,5.00
9031174,5.00
9030095,5.00
9024679,5.00
9026215,5.00
9032131,5.00
9004698,4.50
4000393,5.00
9000038,5.00
9028532,5.00
9022874,5.00
9013462,5.00
9014533,5.00
9029828,5.00
8000540,5.00
9006915,5.00
9014955,5.00
2011075,4.00
9000673,5.00
9031019,5.00
9013673,5.00
3100065,4.00
9023288,5.00
9012636,5.00
9025419,5.00
9023760,5.00
1500074,5.00
9030974,5.00
9014701,5.00
9015143,5.00
9004079,5.00
9014948,5.00
2501081,4.50
9022142,5.00
9024229,5.00
9014925,5.00
9029449,5.00
9006961,5.00
9022643,5.00
9000293,5.00
9033454,5.00
9031964,5.00
3133992,5.00
9015989,5.00
9028908,5.00
9019645,5.00
9024295,5.00
9000576,5.00
9025953,5.00
9019654,5.00
9022007,5.00
9000934,5.00
9032708,5.00
9028477,5.00
9030183,5.00
9024597,5.00
9023716,5.00
9022671,5.00
9010273,5.00
1500162,5.00
9010142,5.00
9028216,5.00
9025200,5.00
9001029,5.00
9029461,5.00
9018757,5.00
9027907,5.00
9015501,5.00
9022196,5.00
8000151,5.00
8915808,4.50
9011637,5.00
9027165,5.00
9022508,4.50
9023130,5.00
4300701,5.00
9023611,5.00
9015690,5.00
9006034,5.00
9003647,5.00
9027366,5.00
9016766,5.00
9004613,5.00
9029719,5.00
9026469,4.50
8915914,4.50
9030825,5.00
9017603,5.00
9021509,5.00
1300122,5.00
9011611,5.00
9014924,5.00
0750512,5.00
8000557,5.00
9033814,5.00
8915833,5.00
9029589,5.00
9002929,5.00
9011903,5.00
9028150,5.00
9030765,5.00
9021742,5.00
7300004,5.00
9021706,5.00
9004952,5.00
2373001,5.00
,3.00
9029829,5.00
9021201,5.00
9029283,5.00
9022505,5.00
2012092,5.00
C0100020,3.50
,3.00
9026337,5.00
9026904,5.00
2018038,4.50
2370051,5.00
9029436,5.00
9028750,5.00
9023097,5.00
9005968,4.50
9011541,5.00
9009397,5.00
9009935,5.00
8350001,5.00
2112002,3.50
9032137,5.00
2011076,5.00
2250023,5.00
9001172,4.50
8000574,5.00
9016425,5.00
8000424,4.50
9027131,5.00
8000192,5.00
2018023,4.50
9022600,5.00
9025574,4.50
9031146,5.00
9001195,5.00
9020518,5.00
,3.00
9010571,5.00
9001262,5.00
9021714,5.00
9026305,5.00
9023283,5.00
9021976,5.00
9022898,5.00
9025109,5.00
9013783,5.00
9020433,5.00
2011073,5.00
9031056,5.00
9010871,5.00
9030599,5.00
8916560,5.00
9011140,5.00
9003553,4.50
9012391,5.00
9026872,5.00
9013222,5.00
9034438,5.00
4300721,5.00
9031411,5.00
,3.00
9025268,5.00
6500114,5.00
8000497,5.00
9010800,5.00
9015069,5.00
9011060,5.00
9025958,5.00
9021736,5.00
8000323,5.00
9013363,5.00
9025321,5.00
9028695,5.00
9008652,4.50
,3.00
2661031,3.00
,3.00
8000258,5.00
9013749,5.00
8000068,4.50
9011624,5.00
9014022,5.00
9030716,5.00
2642004,4.00
9024357,5.00
2153016,5.00
,3.00
9033474,5.00
9024289,5.00
9014014,5.00
2660007,5.00
9015455,5.00
9011939,5.00
2000403,5.00
2000107,4.50
9025243,5.00
9021783,5.00
9018048,5.00
5180005,5.00
9020889,5.00
9033194,5.00
9008713,4.50
9024485,5.00
2550004,5.00
9024534,5.00
9010908,5.00
9011092,5.00
9027956,5.00
9024473,5.00
9019978,5.00
9009368,5.00
9010509,5.00
9022501,5.00
9016651,5.00
3100251,5.00
9032985,5.00
8000167,5.00
9012092,4.50
9012573,5.00
9031024,4.00
2100199,5.00
9016324,5.00
0100206,5.00
9033071,5.00
2100166,5.00
9025825,5.00
9007796,5.00
9024342,5.00
9032471,5.00
9023435,5.00
9030678,5.00
9007528,5.00
2000328,5.00
9021800,5.00
9002588,5.00
9011219,5.00
9022940,5.00
9015487,5.00
9006384,5.00
9005566,5.00
0530003,5.00
9025396,5.00
9024292,5.00
9018179,5.00
9028361,5.00
9003967,5.00
8000360,5.00
4580302,5.00
9011890,4.50
9004663,5.00
9006259,4.50
2003366,5.00
9020106,5.00
9017195,5.00
2004341,5.00
5419993,5.00
9032279,4.50
9013905,5.00
9015987,5.00
9008227,5.00
9028648,5.00
9009700,5.00
9003530,5.00
9026931,5.00
9030047,5.00
9012967,5.00
3001101,5.00
9008999,5.00
9025637,5.00
9008421,5.00
9012704,5.00
9028680,5.00
6100723,5.00
8000381,5.00
9024422,5.00
9002469,5.00
1001026,5.00
2150086,4.50
9013955,5.00
9010347,5.00
7500012,5.00
1001014,5.00
9025866,5.00
9002907,5.00
9023892,5.00
0642001,5.00
9026316,5.00
2017081,4.50
9011616,5.00
9020422,5.00
9013510,5.00
9013768,5.00
6250991,5.00
9031457,4.50
9019647,4.50
9025087,5.00
9026178,5.00
8000020,5.00
9011972,5.00
9000726,5.00
9014817,5.00
9000054,5.00
9031745,5.00
9018646,5.00
,3.00
7300309,5.00
9007945,5.00
2018213,5.00
5181054,5.00
9006849,5.00
2150023,5.00
9017745,5.00
9018085,5.00
9019062,5.00
9015105,5.00
9033163,5.00
9026385,5.00
9029357,5.00
9009589,5.00
4667001,4.50
7100007,5.00
9024082,5.00
9031116,4.50
9022875,5.00
1001921,3.50
2150058,5.00
1000161,5.00
9031176,5.00
9024979,5.00
2150065,5.00
9002702,5.00
9017294,5.00
9018055,5.00
9032976,5.00
0300243,5.00
9007997,5.00
8000632,5.00
9022768,5.00
1551001,4.50
9011515,5.00
9021020,5.00
9032954,5.00
9033165,5.00
9028867,5.00
9000994,5.00
4270004,5.00
9018607,5.00
3111212,5.00
3100037,5.00
9023229,5.00
9004262,5.00
1250632,5.00
6502281,5.00
7100434,5.00
2240052,5.00
9006439,5.00
9021904,5.00
9011794,5.00
9019816,5.00
9025039,5.00
9027029,5.00
9020655,5.00
6100206,5.00
